ORF,GFP_R12,rank_GFP,abs,rank_abs
YOR240W,-0.040897,3674,0.040897,3540
YDR216W,0.040847,1841,0.040847,3541
YOR142W,0.040771,1842,0.040771,3542
YKL218C,-0.040736,3673,0.040736,3543
YJL067W,-0.040716,3672,0.040716,3544
YFR009W,0.04067,1843,0.04067,3545
YOR316C-A,-0.040659,3671,0.040659,3546
YOR272W,-0.040622,3670,0.040622,3547
YGR139W,0.040608,1844,0.040608,3548
YNL191W,0.040547,1845,0.040547,3549
YDL011C,0.0405,1846,0.0405,3550
YDR452W,0.040455,1847,0.040455,3551
YLR347C,0.040407,1848,0.040407,3552
YLR123C,0.040335,1849,0.040335,3553
YAL068C,0.040323,1850,0.040323,3554
YML052W,-0.040264,3669,0.040264,3555
YDR479C,0.0402,1851,0.0402,3556
YCR066W,0.040189,1852,0.040189,3557
YJL064W,-0.040178,3668,0.040178,3558
YGR130C,-0.040106,3667,0.040106,3559
YJR015W,0.040081,1853,0.040081,3560
YGL161C,0.040075,1854,0.040075,3561
YGR085C,-0.040025,3666,0.040025,3562
YDL046W,0.040019,1855,0.040019,3563
YLR037C,-0.040012,3665,0.040012,3564
YMR282C,0.039978,1856,0.039978,3565
YOR190W,0.039977,1857,0.039977,3566
YJL122W,-0.039958,3664,0.039958,3567
YMR211W,0.039952,1858,0.039952,3568
YNR018W,0.039935,1859,0.039935,3569
YMR027W,0.039912,1860,0.039912,3570
YDR341C,0.039878,1861,0.039878,3571
YOR163W,0.03987,1862,0.03987,3572
YLR009W,0.039848,1863,0.039848,3573
YOL069W,0.039843,1864,0.039843,3574
YIL037C,-0.039827,3663,0.039827,3575
YLR252W,0.039813,1865,0.039813,3576
YOR358W,0.03978,1866,0.03978,3577
YER187W,-0.0397,3662,0.0397,3578
YGL208W,0.039693,1867,0.039693,3579
YGR237C,0.039648,1868,0.039648,3580
YKR045C,-0.039584,3661,0.039584,3581
YKL082C,-0.039575,3660,0.039575,3582
YPL087W,0.039571,1869,0.039571,3583
YJR129C,-0.039569,3659,0.039569,3584
YOL152W,-0.039553,3658,0.039553,3585
YFL043C,0.03951,1870,0.03951,3586
YJR036C,-0.03947,3657,0.03947,3587
YMR191W,0.039458,1871,0.039458,3588
YDL209C,-0.039429,3656,0.039429,3589
YKL132C,0.039386,1872,0.039386,3590
YER080W,-0.039383,3655,0.039383,3591
YER128W,0.039319,1873,0.039319,3592
YNL074C,0.039276,1874,0.039276,3593
YGL117W,0.039272,1875,0.039272,3594
YOL114C,0.039148,1876,0.039148,3595
YKL200C,-0.039146,3654,0.039146,3596
YPL137C,0.039139,1877,0.039139,3597
YKL217W,-0.039128,3653,0.039128,3598
YBR261C,0.039125,1878,0.039125,3599
YJL136W-A,0.039057,1879,0.039057,3600
YCR065W,-0.039014,3652,0.039014,3601
YKL074C,0.039011,1880,0.039011,3602
